id,value
E14001037,2293
E14001038,14862
E14001034,10648
E14001035,9496
E14001039,21042
E14001040,12543
E14001041,2723
E14001042,8147
E14001043,22284
E14001044,20695
E14001045,8794
E14001046,8770
E14001047,8827
E14001048,6450
E14001049,13642
E14001050,15522
E14001051,18203
E14001052,19098
E14001053,16312
E14001054,20446
E14001055,15652
W07000044,13068
E14001056,20552
E14001057,14808
E14001058,11547
E14001059,23855
E14001060,3761
W07000041,10991
E14001061,27312
E14001062,17339
